Src IP,Src Port,Dst IP,Dst Port,Flow Duration,Total Packets,Total Bytes,Packets per Second,Bytes per Second
192.168.1.15,51340,98.66.133.184,443,0.110081,3,674,27.25265940534697177532907586,6122.764146401286325523932377
192.168.1.15,51340,98.66.133.184,443,0.054028,2,121,37.01784260013326423336047975,2239.579477308062486118309025
104.199.65.9,4070,192.168.1.15,50516,0.041369,2,119,48.34537939036476588750030216,2876.550073726703570306267978
104.199.65.9,4070,192.168.1.15,50516,0.110558,3,184,27.13507842037663488847482769,1664.284809783100273159789432
104.199.65.9,4070,192.168.1.15,50516,0.051679,2,119,38.70043924998548733528125544,2302.676135374136496449234699
104.199.65.9,4070,192.168.1.15,50516,0.117184,3,184,25.60076460950300382304751502,1570.180229382850901146914255
104.199.65.9,4070,192.168.1.15,50516,0.055797,2,420,35.84422101546678136817391616,7527.286413248024087316522394
104.199.65.9,4070,192.168.1.15,50516,0.040129,2,119,49.83926835954048194572503676,2965.436467392658675770639687
102.132.103.60,443,192.168.1.15,53946,0.417958,25,6634,59.81462252188018891850377311,15872.40823240612693141416123
102.132.103.60,5222,192.168.1.15,51137,0.961460,89,15860,92.56755351236660911530380879,16495.74605287791483785076862
102.132.103.60,5222,192.168.1.15,51137,0.964583,184,44460,190.7560054448398945451039465,46092.45653303033538845283402
102.132.103.60,5222,192.168.1.15,51137,0.578253,16,7921,27.66954948785393244825361909,13698.15634333068743266355730
102.132.103.60,5222,192.168.1.15,51137,0.144192,4,419,27.74079005770084332001775411,2905.847758544163337771859743
102.132.103.60,5222,192.168.1.15,51137,0.116356,4,358,34.37725600742548729760390526,3076.764412664581113135549520
102.132.103.60,5222,192.168.1.15,51137,0.137420,4,358,29.10784456411002765245233590,2605.152088487847474894484063
102.132.103.60,5222,192.168.1.15,51137,0.127923,4,358,31.26881014360201058449223361,2798.558507852379947312054908
102.132.103.60,5222,192.168.1.15,51137,0.246131,7,458,28.44013960045666738444161849,1860.797705287021951724894467
192.168.1.15,59756,74.242.255.116,443,0.057560,2,121,34.74635163307852675469075747,2102.154273801250868658790827
192.168.1.15,59756,74.242.255.116,443,0.056250,2,121,35.55555555555555555555555556,2151.111111111111111111111111
192.168.1.15,59756,74.242.255.116,443,0.054450,2,121,36.73094582185491276400367309,2222.222222222222222222222222
192.168.1.15,59756,74.242.255.116,443,0.060754,3,287,49.37946472660236363037824670,4723.968792178292787306185601
192.168.1.15,59756,74.242.255.116,443,0.055332,2,121,36.14544928793464902768741415,2186.799681920046266175088556
192.168.1.15,59756,74.242.255.116,443,0.055067,2,121,36.31939273975339132329707447,2197.323260755080175059473006
192.168.1.15,59756,74.242.255.116,443,0.056978,2,121,35.10126715574432237003755836,2123.626662922531503387272281
192.168.1.15,52018,35.186.224.33,443,0.116898,4,299,34.21786514739345412239730363,2557.785419767660695649198447
192.168.1.15,52018,35.186.224.33,443,0.119906,4,299,33.35946491418277650826480743,2493.620002335162543992794356
192.168.1.15,52018,35.186.224.33,443,0.111874,4,299,35.75450953751541913223805352,2672.649587929277580134794501
192.168.1.15,52018,35.186.224.33,443,0.106808,4,299,37.45037824882031308516216014,2799.415774099318403115871470
192.168.1.15,52018,35.186.224.33,443,0.108135,4,299,36.99079853886345771489342026,2765.062190780043464188283165
192.168.1.15,52018,35.186.224.33,443,0.111111,4,299,36.00003600003600003600003600,2691.002691002691002691002691
192.168.1.15,52018,35.186.224.33,443,0.117312,4,299,34.09710856519367157665030005,2548.758865248226950354609929
192.168.1.15,52018,35.186.224.33,443,0.048756,2,517,41.02059233735335138239396177,10603.82311920584133234883912
192.168.1.15,52018,35.186.224.33,443,0.111632,4,299,35.83201949261860398452056758,2678.443457073240647842912427
192.168.1.15,52018,35.186.224.33,443,0.117717,4,299,33.97979900948885887339976384,2539.989975959292200786632347
13.89.178.27,443,192.168.1.15,53702,0.583772,12,3711,20.55597048162638838450627985,6356.933871442960607908567043
13.89.178.27,443,192.168.1.15,53702,0.637472,15,9065,23.53044525877214999247025752,14220.23241805130264544952563
13.89.178.27,443,192.168.1.15,53702,0.153551,2,121,13.02498844032275921355119797,788.0118006395269324198474774
13.89.178.27,443,192.168.1.15,53702,0.629592,11,3663,17.47163242226711902311338136,5818.053596614950634696755994
13.89.178.27,443,192.168.1.15,53702,0.550295,18,7552,32.70972841839377061394343034,13723.54827865054198202782144
13.89.178.27,443,192.168.1.15,53702,0.563659,12,3716,21.28946756815734335830706154,6592.638456939390659955753390
13.89.178.27,443,192.168.1.15,53702,0.153715,2,121,13.01109195589239826952476987,787.1710633314900953062485769
13.89.178.27,443,192.168.1.15,53702,0.686781,12,3711,17.47281884618240749234472124,5403.469228181909517007605044
13.89.178.27,443,192.168.1.15,53702,0.154277,2,121,12.96369517167173331086292837,784.3035578861398653072071663
13.89.178.27,443,192.168.1.15,53702,0.688794,12,3711,17.42175454490021690084408401,5387.677593010392076586032979
140.82.121.6,443,192.168.1.15,61651,0.976868,30,11802,30.71039280639758902942874575,12081.46853003681152417726858
140.82.121.6,443,192.168.1.15,61651,0.951757,17,8569,17.86170209412696728261520535,9003.348543798469567337040862
140.82.121.6,443,192.168.1.15,61651,0.174394,3,1512,17.20242668899159374749131277,8670.023051251763248735621638
140.82.121.6,443,192.168.1.15,61651,0.060614,5,345,82.48919391559705678556109150,5691.754380176196918203715313
104.18.39.21,443,192.168.1.15,55761,0.040959,3,222,73.24397568300007324397568300,5420.054200542005420054200542
104.18.39.21,443,192.168.1.15,55761,0.039986,3,222,75.02625919071675086280198069,5551.943180113039563847346571
104.18.39.21,443,192.168.1.15,55761,0.051973,3,222,57.72227887557000750389625382,4271.448636792180555288322783
104.18.39.21,443,192.168.1.15,55761,0.041882,3,222,71.62981710520032472183754357,5300.606465784824029415978225
104.18.39.21,443,192.168.1.15,55761,0.053667,3,222,55.90027391134216557661132540,4136.620269439320252669238079
104.18.39.21,443,192.168.1.15,55761,0.041206,3,222,72.80493132068145415716157841,5387.564917730427607629956802
104.18.39.21,443,192.168.1.15,55761,0.043890,3,222,68.35269993164730006835269993,5058.099794941900205058099795
104.18.39.21,443,192.168.1.15,55761,0.040440,3,222,74.18397626112759643916913947,5489.614243323442136498516320
104.18.39.21,443,192.168.1.15,55761,0.041942,3,222,71.52734728911353774259691956,5293.023699394401792952172047
104.18.39.21,443,192.168.1.15,55761,0.041332,3,222,72.58298654795315977934772089,5371.141004548533823671731346
